i,"{'k': 0.2161496295798692, 'b': 0.7838503704201307}"
ib,"{'c': 0.002592318973655732, 'f': 0.9974076810263443}"
ibc,"{'c': 0.7330948574414398, 'f': 0.2669051425585602}"
ibf,"{'c': 0.0009151113350064671, 'f': 0.9990848886649936}"
ik,"{'k': 0.9996620087106557, 'b': 0.00033799128934426686}"
ikb,"{'c': 0.5, 'f': 0.5}"
ikbc,"{'c': 0.5, 'f': 0.5}"
ikbf,"{'c': 0.5, 'f': 0.5}"
ikk,"{'k': 0.9987001315447995, 'b': 0.0012998684552004323}"
ikkb,"{'c': 0.9217311533589281, 'f': 0.078268846641072}"
ikkbc,"{'c': 0.6697403266886987, 'f': 0.3302596733113014}"
ikkbf,"{'c': 0.4154071761626956, 'f': 0.5845928238373045}"
