i,"{'k': 0.9999986538369916, 'b': 1.3461630084028054e-06}"
ib,"{'c': 0.26154305547359563, 'f': 0.7384569445264044}"
ibc,"{'c': 0.3287351956984005, 'f': 0.6712648043015995}"
ibf,"{'c': 0.042338038392618814, 'f': 0.9576619616073812}"
ik,"{'k': 0.012104039674236624, 'b': 0.9878959603257634}"
ikb,"{'c': 4.260327041914119e-08, 'f': 0.9999999573967295}"
ikbc,"{'c': 0.5, 'f': 0.5}"
ikbf,"{'c': 1.8563325547629558e-07, 'f': 0.9999998143667446}"
ikk,"{'k': 0.9999830654821771, 'b': 1.693451782283897e-05}"
ikkb,"{'c': 0.5119200601614915, 'f': 0.48807993983850845}"
ikkbc,"{'c': 0.8997258856673546, 'f': 0.10027411433264542}"
ikkbf,"{'c': 0.8948280262065421, 'f': 0.10517197379345791}"
