i,"{'k': 0.9999987142958745, 'b': 1.2857041254526848e-06}"
ib,"{'c': 0.2896318872488612, 'f': 0.7103681127511389}"
ibc,"{'c': 0.5040437990141456, 'f': 0.49595620098585436}"
ibf,"{'c': 0.04719407944072612, 'f': 0.9528059205592739}"
ik,"{'k': 0.9999997996682871, 'b': 2.0033171288579634e-07}"
ikb,"{'c': 0.21516066065676848, 'f': 0.7848393393432315}"
ikbc,"{'c': 0.5, 'f': 0.5}"
ikbf,"{'c': 0.5, 'f': 0.5}"
ikk,"{'k': 0.9999996041953348, 'b': 3.9580466513940624e-07}"
ikkb,"{'c': 0.7617791261033056, 'f': 0.23822087389669444}"
ikkbc,"{'c': 0.9642609756579773, 'f': 0.03573902434202267}"
ikkbf,"{'c': 0.8857142857142856, 'f': 0.11428571428571428}"
