i,"{'k': 0.9999983332777759, 'b': 1.6667222240760703e-06}"
ib,"{'c': 0.5, 'f': 0.5}"
ibc,"{'c': 0.5, 'f': 0.5}"
ibf,"{'c': 0.5, 'f': 0.5}"
ik,"{'k': 0.999999166637499, 'b': 8.333625010218364e-07}"
ikb,"{'c': 0.5, 'f': 0.5}"
ikbc,"{'c': 0.5, 'f': 0.5}"
ikbf,"{'c': 0.5, 'f': 0.5}"
ikk,"{'k': 0.9999945833059017, 'b': 5.416694098211471e-06}"
ikkb,"{'c': 0.9615372780700945, 'f': 0.03846272192990553}"
ikkbc,"{'c': 0.8200102403276904, 'f': 0.1799897596723095}"
ikkbf,"{'c': 0.6520458863666113, 'f': 0.3479541136333888}"
