i,"{'k': 0.5839876523102046, 'b': 0.4160123476897954}"
ib,"{'c': 4.636641877850308e-06, 'f': 0.9999953633581221}"
ibc,"{'c': 0.5, 'f': 0.5}"
ibf,"{'c': 2.318331688198946e-06, 'f': 0.9999976816683118}"
ik,"{'k': 0.9999966970187377, 'b': 3.30298126231054e-06}"
ikb,"{'c': 0.5, 'f': 0.5}"
ikbc,"{'c': 0.5, 'f': 0.5}"
ikbf,"{'c': 0.5, 'f': 0.5}"
ikk,"{'k': 0.9999597302525189, 'b': 4.026974748112574e-05}"
ikkb,"{'c': 0.911908558625156, 'f': 0.08809144137484415}"
ikkbc,"{'c': 0.8017850135504276, 'f': 0.19821498644957244}"

