C1,C2,Suited,Rank,Suitless
12,12,0,0,0
11,11,0,1,1
10,10,0,2,2
12,11,1,3,5
9,9,0,4,3
12,10,1,5,7
11,10,1,6,8
12,9,1,7,10
11,9,1,8,12
8,8,0,9,4
12,11,0,10,5
12,8,1,11,15
10,9,1,12,13
11,8,1,13,16
10,8,1,14,19
9,8,1,15,18
7,7,0,16,6
12,10,0,17,7
12,7,1,18,24
11,10,0,19,8
6,6,0,20,9
11,7,1,21,26
8,7,1,22,23
12,6,1,23,28
10,7,1,24,27
9,7,1,25,25
12,9,0,26,10
12,3,1,27,31
5,5,0,28,11
12,5,1,29,32
11,9,0,30,12
12,2,1,31,33
12,1,1,32,35
12,4,1,33,37
10,9,0,34,13
4,4,0,35,14
11,6,1,36,36
8,6,1,37,30
12,0,1,38,40
7,6,1,39,29
9,6,1,40,34
12,8,0,41,15
10,6,1,42,39
11,5,1,43,43
11,8,0,44,16
3,3,0,45,17
9,8,0,46,18
6,5,1,47,38
10,8,0,48,19
2,2,0,49,20
1,1,0,50,21
0,0,0,51,22
11,4,1,52,46
7,5,1,53,41
11,3,1,54,49
5,4,1,55,42
8,5,1,56,45
11,2,1,57,53
11,1,1,58,54
11,0,1,59,56
10,5,1,60,52
6,4,1,61,47
4,3,1,62,44
9,5,1,63,50
3,2,1,64,48
10,4,1,65,58
5,3,1,66,51
7,4,1,67,55
10,3,1,68,62
4,2,1,69,57
10,2,1,70,64
10,1,1,71,65
8,7,0,72,23
8,4,1,73,61
10,0,1,74,67
12,7,0,75,24
3,1,1,76,59
6,3,1,77,60
9,4,1,78,68
9,7,0,79,25
11,7,0,80,26
9,3,1,81,70
10,7,0,82,27
2,1,1,83,63
5,2,1,84,66
9,2,1,85,73
9,1,1,86,74
7,3,1,87,71
9,0,1,88,76
4,1,1,89,69
12,6,0,90,28
3,0,1,91,72
8,3,1,92,78
6,2,1,93,77
8,2,1,94,79
8,1,1,95,81
2,0,1,96,75
8,0,1,97,83
7,6,0,98,29
8,6,0,99,30
12,3,0,100,31
12,5,0,101,32
5,1,1,102,82
12,2,0,103,33
1,0,1,104,80
7,2,1,105,85
7,1,1,106,86
9,6,0,107,34
12,1,0,108,35
4,0,1,109,84
7,0,1,110,87
11,6,0,111,36
12,4,0,112,37
6,5,0,113,38
10,6,0,114,39
6,1,1,115,88
12,0,0,116,40
6,0,1,117,89
7,5,0,118,41
5,0,1,119,90
5,4,0,120,42
11,5,0,121,43
4,3,0,122,44
8,5,0,123,45
11,4,0,124,46
6,4,0,125,47
3,2,0,126,48
11,3,0,127,49
9,5,0,128,50
5,3,0,129,51
10,5,0,130,52
11,2,0,131,53
11,1,0,132,54
7,4,0,133,55
11,0,0,134,56
4,2,0,135,57
10,4,0,136,58
3,1,0,137,59
6,3,0,138,60
8,4,0,139,61
10,3,0,140,62
2,1,0,141,63
10,2,0,142,64
10,1,0,143,65
5,2,0,144,66
10,0,0,145,67
9,4,0,146,68
4,1,0,147,69
9,3,0,148,70
7,3,0,149,71
3,0,0,150,72
9,2,0,151,73
9,1,0,152,74
2,0,0,153,75
9,0,0,154,76
6,2,0,155,77
8,3,0,156,78
8,2,0,157,79
1,0,0,158,80
8,1,0,159,81
5,1,0,160,82
8,0,0,161,83
4,0,0,162,84
7,2,0,163,85
7,1,0,164,86
7,0,0,165,87
6,1,0,166,88
6,0,0,167,89
5,0,0,168,90
